Vehicle ID,Owner ID,Make,Model,Year,Vehicle Type,License Status,Last Renewal Date,Expiration Date,Fine Amount,Agent Service Used,Online Platform Used,Compliance History,Geographic Location,Region,Income Level,Number of Vehicles Owned,Previous Violations,Agent Hours Used,User Feedback Score,Predictive Score,Preferred Payment Mode,Date of Data Collection,Days Since Last Renewal,Number of Late Renewals in Last 3 Years,Average Renewal Lag Days,Agent Synchronization Lag,Month,Quarter
VH-72A10CAF,OWN-24202DCD,Mazda,Demio,2021,Hatchback,Compliant,2023-02-21,2024-02-21,,Agent,,Always Compliant,"Lupane, Mashonaland West",Peri-urban,High,1,0,,3.0,0.123,Bank Transfer,2023-11-10,262,2,7.66,17.04,11,4
VH-9BC70114,OWN-549CB8A1,Mazda,Demio,2023,Truck,Non-compliant,2024-11-29,2025-06-14,0.0,In-person,,Occasional Late,"Harare, Harare",Urban,,1,0,0.88,5.0,0.486,Bank Transfer,2025-02-04,67,3,15.72,3.87,2,1
VH-E7957A0D,OWN-6D40DD6D,Great Wall,Steed,2021,Truck,Compliant,2024-06-13,2025-06-13,,Online,Telecash,Always Compliant,"Shurugwi, Mashonaland East",Urban,Middle,3,0,0.0,3.6,0.597,Mobile Money,2025/04/12,3030,3,12.24,0.0,4,2
VH-25BD928D,OWN-95BD1FAF,Audi,Q5,2014,Minivan,Non-compliant,2021-12-08,2022-11-15,0.0,In-person,,Always Compliant,"Chegutu, Matabeleland South",Peri-urban,High,1,3,6.8,2.4,0.714,Online,2023-11-21,713,3,20.8,11.89,11,4
VH-3E8F97E5,OWN-FCAC3703,Mazda,Demio,2006,Minivan,Compliant,2024-05-03,2025-05-03,0.0,In-person,,Always Compliant,"Zvishavane, Harare",Rural,,1,4,3.13,2.6,0.397,Cash,2025-01-17,259,3,10.56,11.53,1,1
VH-BB63FAFD,OWN-25281D3C,Toyota,Yaris,2003,SUV,Non-compliant,2024-03-05,2024-09-15,0.0,Agent,,Occasional Late,"Beitbridge, Midlands",Rural,High,1,0,7.05,,0.721,Online,2024-07-18,135,5,8.82,12.28,7,3
VH-213CEC20,OWN-30A33614,Mazda,323,2023,Pickup,Expired,2024-01-30,2024-01-12,0.0,In-person,,Always Compliant,"Beitbridge, Masvingo",Urban,Middle,2,0,3.47,2.7,0.886,Mobile Money,2025-05-22,478,2,12.56,19.83,5,2
VH-2A928FE6,OWN-D13B115D,Hyundai,i20,2016,SUV,Compliant,2023-12-24,2024-12-23,1984.37,Online,Ecocash,Always Compliant,"Chiredzi, Harare",Rural,Low,2,0,0.0,,0.03,Bank Transfer,2024-02-13,51,3,6.79,0.0,2,1
VH-3FFD6009,OWN-4FB9A158,Honda,Civic,2024,Minivan,Compliant,2023-09-26,2024-09-25,0.0,Online,Paynow,Frequently Non-compliant,"Bulawayo, Masvingo",Peri-urban,High,1,0,,,0.862,Bank Transfer,2024-09-20,360,2,6.64,0.0,9,3
VH-FB4F4C7E,OWN-4DF9F0DA,Mercedes-Benz,Actros,2016,Minivan,Compliant,2024-09-19,2025-09-19,0.0,Online,Zinara Portal,Always Compliant,"Bindura, Bulawayo",Peri-urban,High,1,4,0.0,,0.776,Cash,2025-10-28,404,4,22.72,0.0,10,4
VH-51E699E9,OWN-89236606,Great Wall,Hover,2009,Truck,Compliant,2024-07-23,2025-07-23,0.0,Online,Ecocash,Frequently Non-compliant,"Marondera, Mashonaland West",Urban,Very High,1,1,0.0,,0.946,Online,2024-12-22,152,4,11.95,0.0,12,4
VH-A099C98C,OWN-C01CBAA2,Foton,View,2009,Sedan,Expired,2022-07-02,2021-07-09,,Agent,,Always Compliant,"Gweru, Mashonaland Central",Peri-urban,Middle,3,0,4.71,,0.648,Agent,2024-03-19,626,5,10.38,8.79,3,1
VH-53FB2867,OWN-468F3DDC,Foton,Sauvana,2024,Pickup,Non-compliant,2023-11-19,2024/07/12,0.0,In-person,,Occasional Late,"Gwanda, Mashonaland West",Urban,Middle,1,0,,2.3,0.646,Online,2025-04-18,516,4,29.81,10.15,4,2
VH-367DCF8C,OWN-F158316A,Mitsubishi,L200,2006,Truck,Compliant,2024-07-04,2025/07/04,1633.23,Agent,,Always Compliant,"Bindura, Bulawayo",Peri-urban,Middle,1,2,6.28,4.2,0.903,Cash,2024-10-20,108,0,0.0,17.8,10,4
VH-7FE65521,OWN-EC8EC869,JAC,T6,2000,Sedan,Compliant,2022-11-26,2023-11-26,0.0,Online,Telecash,Occasional Late,"Chinhoyi, Matabeleland South",Rural,High,1,0,0.0,3.2,0.764,Online,2024-03-23,483,1,26.83,0.0,3,1
VH-76D46813,OWN-1EF62AF5,JAC,T6,2015,Motorcycle,Non-compliant,2024-04-07,2024-08-20,2599.18,In-person,,Always Compliant,"Kariba, Mashonaland Central",Urban,Low,2,1,29.700000000000003,,0.283,Online,2024-05-25,48,2,29.82,13.27,5,2
VH-0BC80842,OWN-C7BB58CE,Mazda,BT-50,2010,Pickup,Expired,2022-06-25,2021-11-15,0.0,In-person,,Always Compliant,"Gwanda, Mashonaland Central",Peri-urban,Middle,5,0,7.71,3.3,0.418,Mobile Money,2024-05-28,703,5,2.25,21.9,5,2
VH-E5FACF0B,OWN-48B9635F,BMW,X5,2014,Motorcycle,Compliant,2024-05-21,2025-05-21,2851.61,In-person,,Occasional Late,"Bindura, Mashonaland East",Urban,High,2,0,0.89,,0.901,Agent,2025-06-10,385,4,2.25,4.13,6,2
VH-051B4FA0,OWN-132A0923,Toyota,Fortuner,2000,SUV,Non-compliant,2023-07-12,2024-01-11,0.0,In-person,,Occasional Late,"Masvingo, Bulawayo",Rural,Very High,1,1,,3.5,0.211,Agent,2024-08-23,408,4,18.71,20.38,8,3
VH-5ABB817E,OWN-832BA47A,BMW,5 Series,2016,Hatchback,Compliant,2023-11-26,2024-11-25,0.0,Online,Innbucks,Occasional Late,"Plumtree, Masvingo",Peri-urban,High,1,0,0.0,4.4,0.023,Mobile Money,2024-09-28,307,2,26.8,0.0,9,3
VH-E5BBD16E,OWN-541D0D8E,Great Wall,Hover,2012,Truck,Compliant,2023-04-17,2024-04-16,0.0,Agent,,Always Compliant,"Mutare, Manicaland",Peri-urban,High,2,2,,3.8,0.855,Mobile Money,2025-04-01,715,4,7.36,21.23,4,2
VH-B7AF4095,OWN-67A2A498,Ford,Focus,2007,Truck,Compliant,2023-01-02,2024-01-02,0.0,In-person,,Always Compliant,"Chinhoyi, Mashonaland East",Urban,Low,1,3,4.92,1.8,0.37,Bank Transfer,2024-07-12,557,3,24.31,22.84,7,3
VH-FFA18931,OWN-3E8BB2E0,Kia,Sorento,2004,SUV,Compliant,2023-12-21,2024-12-20,1735.26,In-person,,Occasional Late,"Bindura, Matabeleland South",Urban,High,4,0,5.1,3.2,0.748,Online,2025-05-15,511,1,27.15,18.8,5,2
VH-B2F859B8,OWN-A20507BD,Honda,CR-V,2002,Motorcycle,Compliant,2024-07-10,2025-07-10,0.0,In-person,,Always Compliant,"Beitbridge, Matabeleland North",Urban,Very High,2,2,1.5,,0.223,Agent,2025-10-13,460,5,6.41,2.29,10,4
VH-8FC3504F,OWN-C1BD7FD9,BMW,5 Series,2019,Sedan,Expired,2023-06-20,2022-09-22,0.0,Agent,,Always Compliant,"Harare, Mashonaland Central",Urban,Low,3,0,6.93,4.0,0.471,Mobile Money,2023-11-23,156,0,0.0,17.1,11,4
VH-C7B7A7BC,OWN-FE4D3F11,Mazda,BT-50,2021,Motorcycle,Compliant,2023-08-25,2024-08-24,0.0,Agent,,Always Compliant,"Bulawayo, Mashonaland East",Urban,Low,2,0,,4.1,0.753,Mobile Money,2024-06-06,286,1,25.99,17.93,6,2
VH-E4C5A971,OWN-5481D62E,BMW,5 Series,2004,Truck,Expired,2025-01-14,2024-08-31,684.34,Agent,,Always Compliant,"Kadoma, Midlands",Urban,Very High,1,0,6.27,1.2,0.995,Bank Transfer,2025-06-30,167,4,26.32,4.48,6,2
VH-13CF5F1D,OWN-4D10A8A5,Mazda,Demio,2016,Truck,Non-compliant,2023-10-04,2023-12-30,0.0,Agent,,Occasional Late,"Bindura, Harare",Urban,High,1,1,4.57,4.2,0.285,Agent,2025-04-29,573,5,18.78,21.23,4,2
VH-0AD24DD8,OWN-A9A0CC07,Great Wall,Wingle,2011,Minivan,Compliant,2024-04-15,2025-04-15,0.0,In-person,,Always Compliant,"Hwange, Midlands",Peri-urban,Middle,2,4,56.2,,0.991,Agent,2024-07-11,87,2,12.22,20.45,7,3
VH-EBD0DF6F,OWN-C6A33A71,Foton,Sauvana,2009,Pickup,Compliant,2023-09-22,2024-09-21,,Agent,,Always Compliant,"Shurugwi, Matabeleland North",Rural,Very High,2,0,21.099999999999998,,0.574,Bank Transfer,2023-12-30,99,5,8.72,15.29,12,4
VH-3E266D99,OWN-DA3F9AC5,Haval,H6,2022,Sedan,Non-compliant,2024-08-24,2025-06-13,0.0,Agent,,Always Compliant,"Mutare, Matabeleland South",Peri-urban,Very High,1,0,3.95,1.8,0.915,Bank Transfer,2025-05-16,265,3,26.5,8.47,5,2
VH-9F89F951,OWN-A43B45AD,Haval,Jolion,2015,Minivan,Non-compliant,2022-06-19,2023-04-08,810.82,In-person,,Always Compliant,"Beitbridge, Midlands",Urban,Low,1,0,4.63,,0.817,Cash,2024-04-21,672,4,1.73,4.37,4,2
VH-8DA731F0,OWN-389954FA,Nissan,Sunny,2015,Truck,Compliant,2024-01-10,2025-01-09,,Online,Innbucks,Always Compliant,"Ruwa, Mashonaland West",Urban,Low,2,0,0.0,3.5,0.353,Cash,2024-03-23,73,1,8.19,0.0,3,1
VH-246C9647,OWN-C6E42188,Mitsubishi,Triton,2021,Minivan,Compliant,2021-12-15,2022-12-15,0.0,In-person,,Always Compliant,"Norton, Midlands",Peri-urban,High,1,0,7.62,,0.064,Mobile Money,2023-11-20,705,2,6.17,22.63,11,4
VH-C603D16B,OWN-841299B7,Audi,A4,2013,Pickup,Compliant,2023-12-09,2024-12-08,0.0,Agent,,Always Compliant,"Chegutu, Matabeleland North",Rural,High,2,2,6.49,,0.666,Online,2024-08-12,247,2,21.27,14.17,8,3
VH-3CEDBB62,OWN-3B0CC00D,Nissan,Sunny,2000,Pickup,Non-compliant,2023-07-05,2024-02-21,0.0,Online,Telecash,Always Compliant,"Victoria Falls, Bulawayo",Rural,,1,0,0.0,4.5,0.979,Bank Transfer,2024-02-06,216,3,24.98,0.0,2,1
VH-4C58A2CE,OWN-DA2C7750,Volkswagen,Amarok,2004,Motorcycle,Compliant,2024-06-27,2025-06-27,0.0,Online,Paynow,Always Compliant,"Shurugwi, Bulawayo",Peri-urban,Low,1,0,0.0,,0.93,Bank Transfer,2025-05-19,326,2,21.45,0.0,5,2
VH-D08C4DB2,OWN-79C7D592,Land Rover,Discovery,2017,Pickup,Compliant,2024-06-02,2025-06-02,0.0,Online,OneMoney,Always Compliant,"Shurugwi, Masvingo",Peri-urban,Middle,2,1,0.0,4.2,0.841,Agent,2025-10-30,515,5,12.46,0.0,10,4
VH-E0795C36,OWN-31117CB5,Nissan,Hardbody,2021,Pickup,Compliant,2023-07-02,2024-07-01,,Online,OneMoney,Frequently Non-compliant,"Chitungwiza, Mashonaland East",Rural,Middle,3,0,0.0,3.8,0.256,Bank Transfer,2024-02-26,239,0,0.0,0.0,2,1
VH-B85A7058,OWN-BDF7944A,Haval,H9,2002,Minivan,Non-compliant,2024-01-17,2023-12-26,0.0,Online,Zinara Portal,Always Compliant,"Kariba, Mashonaland West",Peri-urban,Low,1,0,0.0,,0.445,Cash,2024-09-25,252,5,28.95,0.0,9,3
VH-C88FED07,OWN-3CBEBC2C,Ford,F-150,2016,Sedan,Compliant,2023-11-23,2024-11-22,3755.69,Online,OneMoney,Always Compliant,"Chitungwiza, Mashonaland Central",Rural,High,4,1,0.0,1.7,0.802,Agent,2025-04-23,517,4,22.48,0.0,4,2
VH-A98DBCF0,OWN-2D5F2A05,Hyundai,i20,2014,Pickup,Compliant,2022-09-01,2023-09-01,0.0,In-person,,Occasional Late,"Gwanda, Harare",Peri-urban,Very High,2,0,5.7,,0.292,Bank Transfer,2024-05-29,636,1,29.22,22.58,5,2
VH-7A7C22CC,OWN-9D30301C,Toyota,Corolla,2021,SUV,Non-compliant,2024-11-20,2024-12-25,0.0,Agent,,Always Compliant,"Ruwa, Mashonaland Central",Urban,Middle,1,0,3.66,,0.076,Cash,2025-07-25,247,3,2.51,3.25,7,3
VH-FAC0FB48,OWN-1A349277,Nissan,Patrol,2008,SUV,Non-compliant,2023-08-18,2024-08-07,0.0,Agent,,Occasional Late,"Gwanda, Mashonaland West",Urban,Middle,1,5,3.02,1.5,0.547,Bank Transfer,2024-11-13,453,3,20.05,20.87,11,4
VH-30DE177C,OWN-88A62DF3,Kia,Sorento,2000,Motorcycle,Compliant,2023-04-13,2024-04-12,0.0,In-person,,Always Compliant,"Plumtree, Manicaland",Urban,Very High,2,0,4.57,4.6,0.351,Bank Transfer,2023-11-10,211,5,12.3,11.63,11,4
VH-E7BB061D,OWN-BF66B0FC,Mitsubishi,Triton,2016,Minivan,Compliant,2022-11-15,2023-11-15,0.0,Online,Paynow,Frequently Non-compliant,"Norton, Matabeleland North",Peri-urban,Low,3,0,0.0,,0.551,Agent,2023-12-18,398,5,20.53,0.0,12,4
VH-6277DCCB,OWN-9164FB2D,JAC,M1,2001,Hatchback,Non-compliant,2024/09/20,2025-09-07,0.0,Agent,,Frequently Non-compliant,"Victoria Falls, Mashonaland West",Peri-urban,,1,1,4.47,3.7,0.42,Bank Transfer,2024-11-15,56,3,24.11,6.24,11,4
VH-D232595A,OWN-D58CBBC8,Foton,View,2002,Hatchback,Non-compliant,2023-01-16,2023-06-27,0.0,Agent,,Always Compliant,"Kadoma, Matabeleland North",Rural,Middle,4,1,,2.8,0.744,Cash,2024-04-27,467,1,5.96,11.51,4,2
VH-A6F29DB5,OWN-C10ACAA1,Honda,Civic,2022,Pickup,Compliant,2024-08-07,2025-08-07,,Online,Innbucks,Frequently Non-compliant,"Kwekwe, Matabeleland South",Urban,Very High,1,0,0.0,,0.964,Online,2025-08-25,383,4,8.69,0.0,8,3
VH-0C72E87F,OWN-B99F5586,Audi,A3,2008,Pickup,Compliant,2022-05-26,2023-05-26,0.0,Online,OneMoney,Frequently Non-compliant,"Gweru, Masvingo",Urban,Very High,1,0,0.0,3.3,0.751,Agent,2024-01-23,607,4,3.45,0.0,1,1
VH-84038589,OWN-4BE72E8F,Great Wall,Wingle,2014,Motorcycle,Compliant,2023-07-14,2024-07-13,0.0,Agent,,Always Compliant,"Norton, Matabeleland North",Rural,High,2,0,4.43,4.6,0.872,Cash,2024-08-20,403,0,0.0,5.87,8,3
VH-AD21CA73,OWN-D4F5A962,Great Wall,Hover,2008,Truck,Compliant,2023-11-17,2024-11-16,0.0,Agent,,Always Compliant,"Shurugwi, Midlands",Peri-urban,Very High,1,0,4.08,,0.142,Bank Transfer,2024-08-21,278,2,15.46,10.67,8,3
VH-F6312E5F,OWN-C0684200,Hyundai,Tucson,2019,Sedan,Compliant,2023-05-08,2024-05-07,0.0,In-person,,Always Compliant,"Redcliff, Midlands",Rural,Middle,3,2,1.45,4.7,0.324,Online,2024-10-23,534,2,8.6,17.75,10,4
VH-9AE255BE,OWN-6609952F,Chevrolet,Spark,2012,Truck,Compliant,2024-01-01,2024-12-31,0.0,Agent,,Always Compliant,"Redcliff, Mashonaland West",Peri-urban,Very High,1,3,3.57,,0.883,Online,2024-04-08,98,3,10.09,4.85,4,2
VH-3276673C,OWN-AD07D7BD,Isuzu,MU-X,2011,Hatchback,Compliant,2024-02-14,2025-02-13,2009.96,Online,Innbucks,Frequently Non-compliant,"Victoria Falls, Mashonaland West",Rural,Low,2,0,0.0,3.2,0.764,Agent,2025-10-20,614,5,14.12,0.0,10,4
VH-386162C8,OWN-D91B35A1,Great Wall,Wingle,2024,Minivan,Non-compliant,2023-11-22,2023-11-16,0.0,Online,Telecash,Occasional Late,"Victoria Falls, Mashonaland Central",Peri-urban,Middle,3,0,0.0,3.3,0.657,Cash,2024-08-31,283,4,24.31,0.0,8,3
VH-5F62FD25,OWN-5496F817,Audi,A3,2024,Sedan,Expired,2023-10-17,2023-03-03,0.0,Online,Innbucks,Always Compliant,"Plumtree, Mashonaland East",Peri-urban,Low,2,0,0.0,,0.182,Mobile Money,2024-01-02,77,3,10.67,0.0,1,1
VH-F2EBED08,OWN-1E932C4F,Chevrolet,Trailblazer,2005,Truck,Compliant,2023-03-08,2024-03-07,0.0,In-person,,Always Compliant,"Norton, Masvingo",Urban,Very High,1,0,1.01,4.8,0.946,Cash,2024-02-12,341,1,8.34,15.3,2,1
VH-EE1012A5,OWN-791692A9,Great Wall,Wingle,2022,Hatchback,Compliant,2022-06-23,2023-06-23,0.0,Agent,,Occasional Late,"Redcliff, Matabeleland North",Rural,Low,1,0,6.24,3.5,0.142,Bank Transfer,2024/06/09,717,1,26.11,22.69,6,2
VH-0F17C8B5,OWN-E6EED0E9,Ford,Explorer,2023,Minivan,Non-compliant,2024-07-03,2025-04-09,0.0,Online,Zinara Portal,Always Compliant,"Harare, Mashonaland West",Urban,High,1,1,0.0,1.1,0.931,Cash,2025-09-24,448,4,28.11,0.0,9,3
VH-CF80EB8D,OWN-77D00D9D,Mercedes-Benz,E-Class,2018,Motorcycle,Compliant,2023-09-10,2024-09-09,0.0,In-person,,Always Compliant,"Redcliff, Manicaland",Urban,Very High,2,0,0.52,3.1,0.531,Online,2024-04-01,204,3,16.78,16.4,4,2
VH-25C8ACBA,OWN-74BFF1E7,JAC,T6,2013,Motorcycle,Compliant,2024-10-07,2025-10-07,0.0,In-person,,Frequently Non-compliant,"Lupane, Matabeleland South",Urban,,1,1,,2.4,0.785,Agent,2025-05-28,233,2,3.01,0.07,5,2
VH-31B07C4A,OWN-C1C12C2C,Chevrolet,Cruze,2021,SUV,Compliant,2023-05-13,2024-05-12,0.0,In-person,,Always Compliant,"Chegutu, Harare",Peri-urban,High,3,0,5.21,,0.343,Bank Transfer,2024-12-08,575,2,22.68,18.82,12,4
VH-9AC21035,OWN-F38F14A3,Honda,CR-V,2016,Sedan,Compliant,2024-09-25,2025-09-25,0.0,Agent,,Always Compliant,"Gweru, Mashonaland East",Urban,Low,1,1,4.85,2.7,0.681,Online,2025-01-20,117,0,0.0,8.24,1,1
VH-18EA6E6B,OWN-D203D198,Land Rover,Range Rover,2012,Pickup,Compliant,2023-01-11,2024-01-11,0.0,In-person,,Always Compliant,"Chitungwiza, Mashonaland Central",Rural,High,1,0,7.04,3.2,0.138,Cash,2023-11-19,312,0,0.0,9.75,11,4
VH-DA46A539,OWN-3D56E4B3,Haval,Jolion,2021,Sedan,Compliant,2023-03-02,2024-03-01,0.0,Online,Innbucks,Always Compliant,"Chiredzi, Masvingo",Peri-urban,Low,4,0,0.0,1.8,0.218,Agent,2024-12-29,668,3,4.2,0.0,12,4
VH-A51AADC6,OWN-83E40BCC,Mitsubishi,Outlander,2011,Truck,Compliant,2024-03-14,2025-03-14,,Agent,,Occasional Late,"Lupane, Matabeleland South",Rural,Middle,1,0,7.03,,0.83,Cash,2025-10-01,566,3,21.07,16.11,10,4
VH-73DA411D,OWN-1F3D834F,Ford,Ranger,2023,Sedan,Compliant,2022/04/01,2023-04-01,0.0,Online,Telecash,Always Compliant,"Chinhoyi, Mashonaland West",Urban,Very High,1,2,,2.2,0.687,Cash,2023-11-13,591,0,0.0,0.0,11,4
VH-DD9B8F4D,OWN-6183F5D6,Chevrolet,Spark,2018,Hatchback,Compliant,2024-01-31,2025-01-30,0.0,Agent,,Always Compliant,"Hwange, Matabeleland North",Urban,Low,1,0,7.69,3.2,0.38,Online,2025-10-26,634,5,5.42,2.3,10,4
VH-AEB753DC,OWN-636586D9,Ford,Ranger,2012,Truck,Compliant,2024-04-23,2025-04-23,0.0,In-person,,Always Compliant,"Marondera, Mashonaland East",Peri-urban,Middle,1,2,,1.7,0.867,Bank Transfer,2025/06/05,408,2,27.84,19.0,6,2
VH-DFFFB050,OWN-65F319E3,Haval,H9,2015,Truck,Compliant,2022-05-19,2023-05-19,0.0,In-person,,Occasional Late,"Chegutu, Harare",Rural,Low,3,0,5.39,,0.424,Agent,2024-04-11,693,1,11.48,22.65,4,2
VH-5359C9AC,OWN-92D12AB6,Nissan,Sunny,2024,Truck,Compliant,2024-04-19,2025-04-19,0.0,Agent,,Occasional Late,"Beitbridge, Bulawayo",Peri-urban,,2,0,7.76,2.1,0.986,Agent,2025-02-11,298,0,0.0,15.84,2,1
VH-A23B7A6C,OWN-9C713894,Haval,H6,2007,Minivan,Compliant,2022-12-31,2023-12-31,0.0,Online,Paynow,Always Compliant,"Beitbridge, Matabeleland South",Urban,Very High,1,1,0.0,1.7,0.899,Cash,2024-06-09,526,5,12.51,0.0,6,2
VH-E098598C,OWN-F54B98ED,Foton,View,2021,Minivan,Compliant,2025-01-04,2026-01-04,0.0,Agent,,Always Compliant,"Mutare, Mashonaland East",Peri-urban,,1,0,1.93,,0.197,Cash,2025-02-06,33,5,4.57,2.12,2,1
VH-AAA7DBD5,OWN-97E7EEB2,Great Wall,Hover,2003,Motorcycle,Compliant,2024-02-20,2025-02-19,,Online,Ecocash,Always Compliant,"Gwanda, Mashonaland West",Peri-urban,Middle,3,0,,4.6,0.503,Online,2025-10-31,619,4,27.14,0.0,10,4
VH-7358D641,OWN-EB71BB6D,JAC,T6,2022,Sedan,Compliant,2024-02-26,2025-02-25,0.0,Online,Telecash,Frequently Non-compliant,"Beitbridge, Manicaland",Peri-urban,Middle,1,1,0.0,2.0,0.407,Mobile Money,2024-10-05,222,3,7.42,0.0,10,4
VH-C941F387,OWN-8E7104D9,Honda,Fit,2004,Pickup,Compliant,2023-02-11,2024-02-11,0.0,Online,Innbucks,Always Compliant,"Beitbridge, Masvingo",Peri-urban,High,3,2,0.0,3.8,0.753,Bank Transfer,2024-02-19,373,5,4.53,0.0,2,1
VH-DAD086BC,OWN-71092CB8,Haval,H9,2008,Hatchback,Compliant,2023-06-09,2024/06/08,0.0,Online,OneMoney,Occasional Late,"Kariba, Mashonaland Central",Urban,Very High,2,5,0.0,4.5,0.91,Agent,2024-06-27,384,1,12.13,0.0,6,2
VH-1ACB260B,OWN-8BE0964E,Kia,Picanto,2020,Hatchback,Compliant,2024-04-26,2025-04-26,0.0,In-person,,Always Compliant,"Kadoma, Manicaland",Urban,Low,1,0,4.13,,0.534,Mobile Money,2024-09-29,1560,1,3.05,7.65,9,3
VH-D52214CE,OWN-41B28ABF,Mazda,BT-50,2003,Pickup,Non-compliant,2024-08-20,2025-02-22,0.0,Online,Paynow,Always Compliant,"Zvishavane, Mashonaland East",Rural,High,4,0,0.0,4.1,0.668,Mobile Money,2025-06-01,285,4,14.52,0.0,6,2
VH-75DF18A4,OWN-31182112,Mazda,Demio,2015,SUV,Compliant,2025-06-24,2026-06-24,,Agent,,Always Compliant,"Chinhoyi, Bulawayo",Peri-urban,Middle,2,0,6.85,,0.038,Mobile Money,2025-08-15,52,3,27.39,15.67,8,3
VH-AA4A8AC7,OWN-4BF4A052,Honda,Accord,2015,Hatchback,Compliant,2024-07-16,2025-07-16,,Agent,,Occasional Late,"Chiredzi, Midlands",Urban,Low,4,1,,4.8,0.125,Online,2024-11-30,137,4,8.67,1.86,11,4
VH-4980472C,OWN-FB1986F5,Foton,Sauvana,2018,Pickup,Compliant,2022-08-02,2023-08-02,0.0,Online,Ecocash,Always Compliant,"Chiredzi, Harare",Peri-urban,Middle,3,1,0.0,4.7,0.05,Bank Transfer,2024-02-19,566,1,12.56,0.0,2,1
VH-B1AB21A9,OWN-1203AE4E,Nissan,Almera,2017,Motorcycle,Compliant,2023-11-26,2024-11-25,,Agent,,Always Compliant,"Plumtree, Manicaland",Urban,High,3,0,1.12,,0.01,Mobile Money,2024-08-13,261,0,0.0,21.92,8,3
VH-64BE50C6,OWN-61C02277,Audi,Q7,2005,Pickup,Compliant,2023-02-25,2024/02/25,,Online,OneMoney,Always Compliant,"Bulawayo, Matabeleland North",Urban,Middle,1,0,0.0,,0.117,Agent,2024-01-12,321,1,4.58,0.0,1,1
VH-95CDCC9A,OWN-6E4AB32E,Isuzu,KB,2004,Hatchback,Compliant,2024-08-19,2025-08-19,,Online,Ecocash,Always Compliant,"Beitbridge, Manicaland",Peri-urban,,3,0,0.0,,0.085,Bank Transfer,2025-07-18,333,3,23.62,0.0,7,3
VH-77456B5C,OWN-82EB42A6,Land Rover,Range Rover,2008,Pickup,Compliant,2022-05-28,2023-05-28,909.81,In-person,,Always Compliant,"Redcliff, Harare",Urban,Middle,1,1,,3.6,0.648,Agent,2024-02-04,617,2,16.32,12.95,2,1
VH-715CE5EE,OWN-80C8E8DD,Land Rover,Defender,2000,Motorcycle,Compliant,2023/12/17,2024-12-16,0.0,In-person,,Occasional Late,"Shurugwi, Matabeleland North",Rural,Low,3,0,1.21,,0.002,Mobile Money,2025-10-08,661,1,7.09,19.35,10,4
VH-36FC0C56,OWN-19502CB7,Land Rover,Range Rover,2013,Hatchback,Compliant,2024-09-01,2025-09-01,0.0,In-person,,Always Compliant,"Bindura, Mashonaland East",Urban,,1,1,7.92,1.7,0.174,Cash,2025-08-16,349,0,0.0,16.48,8,3
VH-8D191511,OWN-C21D1A8D,Isuzu,KB,2012,Minivan,Compliant,2024-06-29,2025-06-29,0.0,Online,Paynow,Always Compliant,"Chinhoyi, Manicaland",Peri-urban,Middle,1,0,0.0,,0.449,Bank Transfer,2025-03-22,266,4,8.85,0.0,3,1
VH-99907C0C,OWN-1258167B,Chevrolet,Trailblazer,2008,Sedan,Compliant,2023-02-27,2024-02-27,0.0,In-person,,Always Compliant,"Marondera, Bulawayo",Rural,High,1,2,0.54,3.6,0.157,Cash,2024-04-02,400,1,10.94,8.86,4,2
VH-5A481358,OWN-CECA7CB9,Foton,View,2007,Truck,Compliant,2025-04-12,2026-04-12,3537.41,Agent,,Always Compliant,"Kwekwe, Mashonaland East",Urban,,1,4,4.09,1.1,0.295,Mobile Money,2025-10-12,183,1,10.99,10.7,10,4
VH-6CD54B97,OWN-1FAB8020,Chevrolet,Cruze,2002,Minivan,Compliant,2024-02-21,2025-02-20,0.0,Online,Telecash,Occasional Late,"Norton, Midlands",Urban,Very High,2,1,0.0,,0.122,Bank Transfer,2025-08-14,540,3,28.32,0.0,8,3
VH-1632568D,OWN-FB8DF007,JAC,M1,2022,Motorcycle,Compliant,2023-07-11,2024-07-10,538.24,In-person,,Always Compliant,"Hwange, Midlands",Rural,High,1,0,1.2,,0.702,Bank Transfer,2024/04/21,285,2,29.82,21.28,4,2
VH-62C20B5D,OWN-54DBC599,Kia,Picanto,2006,Sedan,Compliant,2023-09-20,2024-09-19,507.42,Agent,,Frequently Non-compliant,"Plumtree, Mashonaland Central",Peri-urban,High,1,0,3.52,3.2,0.476,Online,2024-07-16,300,1,7.62,21.43,7,3
VH-42773989,OWN-494DFA03,Nissan,Almera,2012,Sedan,Compliant,2023-11-08,2024-11-07,,Online,Paynow,Always Compliant,"Beitbridge, Harare",Peri-urban,Low,2,0,,1.4,0.162,Mobile Money,2024-01-14,67,2,14.1,0.0,1,1
VH-2C23FA53,OWN-66B5C1BB,Hyundai,i10,2013,Truck,Compliant,2022-02-02,2023-02-02,4652.94,In-person,,Occasional Late,"Harare, Harare",Urban,Low,2,0,6.36,4.8,0.852,Online,2023-12-29,695,0,0.0,10.11,12,4
VH-8B302DE0,OWN-5BB117EB,Volkswagen,Golf,2008,Motorcycle,Expired,2023/08/07,2023-06-05,1304.72,Agent,,Frequently Non-compliant,"Gwanda, Manicaland",Peri-urban,Very High,1,0,,1.5,0.952,Online,2023-11-16,101,5,12.76,23.83,11,4
